Tuck; Location: 116,487; Adjacent Vertices: Murdough,Buchanan
Gym; Location: 873,725; Adjacent Vertices: XH,Observatory Rd,Fayerweather
Kemeny; Location: 499,333; Adjacent Vertices: Choate House,Carson
East Wheelock; Location: 993,687; Adjacent Vertices: XH,Brace
11 Rope Ferry; Location: 686,46; Adjacent Vertices: Dicks House
New Hamp; Location: 739,773; Adjacent Vertices: Observatory Rd,Green Southeast
Traffic Light; Location: 975,183; Adjacent Vertices: LSC East,Dana,LSC West
Green West; Location: 503,710; Adjacent Vertices: Robinson/Collis,Green Center,South Mass,Green Northwest,Green Southwest
Dragon; Location: 856,331; Adjacent Vertices: Observatory
Wentworth; Location: 727,606; Adjacent Vertices: North Fayerweather,Richardson,Green Northeast
Goldstein; Location: 722,207; Adjacent Vertices: Raven,Kellogg,37 Dewey Field
Kellogg; Location: 807,135; Adjacent Vertices: Gilman,Goldstein
Rauner; Location: 637,556; Adjacent Vertices: Green Northeast,Wheeler,Baker,Richardson
Wheeler; Location: 646,485; Adjacent Vertices: Steele,Rauner,Wilder,Berry
Cummings; Location: 86,589; Adjacent Vertices: Thayer,Murdough
Baker; Location: 567,519; Adjacent Vertices: Rauner,Sanborn,Green North,Green Northwest
Green East; Location: 641,707; Adjacent Vertices: Green Center,Green Southeast,Green Northeast,Green Southwest,Green Northwest,Observatory Rd
LALACS; Location: 568,220; Adjacent Vertices: Sherman,Choate House
Green Northeast; Location: 636,619; Adjacent Vertices: Rauner,Green North,Green East,Wentworth,Green Center
Berry; Location: 577,419; Adjacent Vertices: Carson,Wheeler,Parker House
Tuck Dr; Location: 240,509; Adjacent Vertices: Gold Coast,Buchanan
XH; Location: 932,705; Adjacent Vertices: Gym,East Wheelock
Rope Ferry; Location: 625,129; Adjacent Vertices: Sherman,Dicks House
Bildner; Location: 819,280; Adjacent Vertices: Gilman,Burke
37 Dewey Field; Location: 752,96; Adjacent Vertices: Goldstein
Parker House; Location: 649,313; Adjacent Vertices: Raven,Sudikoff,Steele,Berry
